,locality,category_main_cb,furnished,object_type,parking_lots,price_summary_unit_cb,locality_street_id,terrace,balcony,locality_district_id,locality_ward_id,loggia,category_sub_cb,building_type,elevator,locality_gps_lat,basin,locality_region_id,category_type_cb,hash_id,cellar,object_kind,locality_gps_lon,usable_area,locality_quarter_id,ownership,locality_municipality_id,low_energy,easy_access,building_condition,locality_country_id,garage,room_count_cb,energy_efficiency_rating_cb,price_summary_czk,garden_area,estate_area
1651,"Mlýnská, Praha 6 - Bubeneč",1.0,1.0,0.0,0.0,2.0,120570.0,0.0,0.0,5006.0,14947.0,0.0,2.0,2.0,1.0,50.1084675313231,0.0,10.0,2.0,1324971340.0,0.0,0.0,14.4055032747902,36.0,107.0,1.0,3468.0,0.0,0.0,1.0,112.0,1.0,0.0,3.0,19500.0,,
1652,"Milady Horákové, Praha 7 - Bubeneč",1.0,3.0,0.0,0.0,2.0,121202.0,0.0,0.0,5007.0,14947.0,0.0,4.0,2.0,0.0,50.1001053,0.0,10.0,2.0,1572529484.0,0.0,0.0,14.4219046,70.0,113.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,23000.0,,
1653,"Mlýnská, Praha 6 - Bubeneč",1.0,1.0,0.0,0.0,2.0,120570.0,0.0,0.0,5006.0,14947.0,0.0,2.0,2.0,1.0,50.1084675313231,0.0,10.0,2.0,3465618764.0,0.0,0.0,14.4055032747902,53.0,107.0,1.0,3468.0,0.0,0.0,1.0,112.0,1.0,0.0,3.0,29900.0,,
1654,"Roudnická, Praha 8 - Střížkov",1.0,2.0,0.0,0.0,1.0,125440.0,0.0,1.0,5008.0,14964.0,0.0,2.0,2.0,1.0,50.1335048158962,0.0,10.0,2.0,149058892.0,1.0,0.0,14.4869938870469,44.0,115.0,1.0,3468.0,0.0,1.0,6.0,112.0,1.0,0.0,2.0,15990.0,,
1655,"Žitomírská, Praha 10 - Vršovice",1.0,0.0,0.0,0.0,1.0,122933.0,0.0,0.0,5010.0,14968.0,0.0,5.0,2.0,2.0,50.0686399736038,0.0,10.0,2.0,434271564.0,0.0,0.0,14.4555591787387,51.0,132.0,1.0,3468.0,0.0,2.0,9.0,112.0,1.0,0.0,7.0,15500.0,,
1656,"Na vartě, Praha 8 - Libeň",1.0,1.0,0.0,0.0,2.0,120902.0,0.0,0.0,5008.0,14955.0,0.0,2.0,2.0,0.0,50.1170044960905,0.0,10.0,2.0,2128770380.0,0.0,0.0,14.469502168492,37.0,115.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,15700.0,,
1657,"Mlýnská, Praha 6 - Bubeneč",1.0,1.0,0.0,0.0,2.0,120570.0,1.0,1.0,5006.0,14947.0,1.0,4.0,2.0,1.0,50.1084675313231,0.0,10.0,2.0,3678369100.0,0.0,0.0,14.4055032747902,87.0,107.0,1.0,3468.0,0.0,0.0,1.0,112.0,1.0,0.0,3.0,40000.0,,
1658,"Sokolovská, Praha 9 - Libeň",1.0,2.0,0.0,0.0,2.0,121881.0,0.0,0.0,5009.0,14955.0,0.0,3.0,2.0,0.0,50.1055028374671,0.0,10.0,2.0,3605165388.0,1.0,0.0,14.4844908629104,35.0,119.0,2.0,3468.0,0.0,0.0,9.0,112.0,0.0,0.0,3.0,14000.0,,
1659,"Janáčkovo nábřeží, Praha 5 - Smíchov",1.0,2.0,0.0,0.0,2.0,119867.0,1.0,1.0,5005.0,13687.0,0.0,7.0,2.0,1.0,50.077986603815,0.0,10.0,2.0,2548200780.0,0.0,0.0,14.4081574123675,136.0,97.0,1.0,3468.0,0.0,0.0,1.0,112.0,0.0,0.0,7.0,32700.0,,
1660,Praha 2 - Nové Město,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,5002.0,14959.0,0.0,47.0,7.0,1.0,50.0762139777809,0.0,10.0,2.0,887256396.0,0.0,0.0,14.4166574020683,18.0,88.0,2.0,3468.0,0.0,2.0,9.0,112.0,0.0,6.0,0.0,16000.0,,
